,Supplier Name,Supplier Number,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Po Number,Receipt Number,Department,Account Description,Fund Description,Cost Center Description,Minority Owned,Small Business,Women Owned,City,State,Zip,Country,Vendor Id,Days to Pay,Compliant Indicator
4,Canon Solutions America,866161,2176309,05/07/2018 12:00:00 AM,18559368,04/30/2018 12:00:00 AM,175.22,526878.0,203424.0,Public Works,Office Machine Rental,Interceptor Sewer Operations,ISS Engineering,No,No,No,"Chicago,","IL,",60693-0149,US,190422,7,Yes
24,Canon Solutions America,866161,2153027,12/23/2016 12:00:00 AM,16527359,09/30/2016 12:00:00 AM,134.58,526878.0,153886.0,Economic & Community Development,Office Machine Rental,General Fund,Land Development Office,No,No,No,"Chicago,","IL,",60693,US,190422,84,No
99,Canon Solutions America,866161,2205291,04/02/2020 12:00:00 AM,21265214,03/31/2020 12:00:00 AM,133.41,552282.0,280130.0,Human Resources,Office Machine Rental,On-site Medical Clinics & Wellness,WellAdvantage Center,No,No,No,"Chicago,","IL,",60693-0149,US,190422,2,Yes
123,Canon Solutions America,866161,2123802,06/17/2015 12:00:00 AM,4016157275,06/01/2015 12:00:00 AM,187.3,526315.0,113735.0,Human Resources,Equipment Rental,General Fund,Human Resources Admin,No,No,No,"Chicago,","IL,",60693,US,190422,16,Yes
131,Canon Solutions America,866161,2207139,05/21/2020 12:00:00 AM,20999033,01/13/2020 12:00:00 AM,82.75,552282.0,284738.0,Youth & Family Development,Office Machine Rental,2020 Head Start,Head Start Centers,No,No,No,"Chicago,","IL,",60693-0149,US,190422,129,No
155,Canon Solutions America,866161,2207007,05/19/2020 12:00:00 AM,21379418,04/30/2020 12:00:00 AM,41.55,552282.0,284226.0,Public Works,Office Machine Rental,Interceptor Sewer Operations,ISS Plant Maintenance,No,No,No,"Chicago,","IL,",60693-0149,US,190422,19,Yes
218,Canon Solutions America,866161,2216294,03/18/2021 12:00:00 AM,26421241,03/13/2021 12:00:00 AM,82.75,552282.0,315319.0,Youth & Family Development,Office Machine Rental,General Fund,Kidz Kamp,No,No,No,"Chicago,","IL,",60693-0149,US,190422,5,Yes
312,Canon Solutions America,866161,2212403,11/12/2020 12:00:00 AM,22063550,10/31/2020 12:00:00 AM,162.19,552282.0,302766.0,Police,Office Machine Rental,General Fund,Special Investigations,No,No,No,"Chicago,","IL,",60693-0149,US,190422,12,Yes
339,Canon Solutions America,866161,2167505,10/27/2017 12:00:00 AM,17653644,08/13/2017 12:00:00 AM,82.75,526878.0,183069.0,Youth & Family Development,Office Machine Rental,General Fund,Rec Ctr - Hixson,No,No,No,"Chicago,","IL,",60693-0149,US,190422,75,No
366,Canon Solutions America,866161,2122688,05/29/2015 12:00:00 AM,14634148,02/10/2015 12:00:00 AM,125.19,526878.0,112012.0,General Gov't & Agencies,Office Machine Rental,General Fund,City Attorney Operations,No,No,No,"Chicago,","IL,",60693,US,190422,108,No
