,index,Payment Number,Payment Date,Invoice Number,Invoice Date,Payment Total,Department,Account Description,Fund Description,Cost Center Description,Days to Pay,Compliant Indicator,Payment Status,Invoice Year,Invoice Month,Invoice Day,Month Part,Invoices Paid,Sum of Paid Invoices,Invoices Unpaid,Sum of Unpaid Invoices,Invoices Overdue,Not Intime Payments Ratio,Average Days to Pay
0,11218.0,2093111.0,2013-11-07,418252827,2012-12-22,210.83,11,6,56,103,320.0,0,3,2012.0,12.0,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10518.0,2076981.0,2013-02-15,4008434755,2013-01-05,94.09,10,6,56,117,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2248.0,2076742.0,2013-02-12,4008489914,2013-01-05,61.0,6,6,64,73,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,45.0,0.0,0.0,0.0
3,1752.0,2077458.0,2013-02-21,4008402377,2013-01-05,41.0,5,6,56,43,47.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,87.0,0.0,0.0,0.0
4,13949.0,2077678.0,2013-02-26,4008390096,2013-01-05,46.0,1,6,56,28,52.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,399.02,0.0,0.0,0.0
5,11512.0,2076135.0,2013-01-31,4008481343,2013-01-05,20.0,4,6,56,38,26.0,1,1,2013.0,1.0,5.0,1,0.0,0.0,7.0,634.0,0.0,0.0,0.0
6,12302.0,2076981.0,2013-02-15,4008440284,2013-01-05,62.0,2,6,56,26,41.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,175.0,0.0,0.0,0.0
7,4911.0,2076342.0,2013-02-05,4008439015,2013-01-05,145.0,9,6,2,50,31.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,3.0,472.0,0.0,0.0,0.0
8,10422.0,2076742.0,2013-02-12,4008442074,2013-01-05,118.09,11,6,56,75,38.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,1.0,159.94,0.0,0.0,0.0
9,12449.0,2076935.0,2013-02-14,4008682038,2013-01-05,114.0,4,6,56,38,40.0,0,2,2013.0,1.0,5.0,1,0.0,0.0,7.0,540.0,0.0,0.0,0.0
